BursatilIndex,Sampling Method,Indicator,Execution,Ind_Value
sp500,das,GD,0,0.011089916672163917
sp500,das,GD,1,0.011089916672163917
sp500,das,GD,2,0.011089916672163917
sp500,das,GD,3,0.011089916672163917
sp500,das,GD,4,0.011089916672163917
sp500,das,GD,5,0.011089916672163917
sp500,das,GD,6,0.011089916672163917
sp500,das,GD,7,0.011089916672163917
sp500,das,GD,8,0.011089916672163917
sp500,das,GD,9,0.011089916672163917
sp500,das,GD,10,0.011089916672163917
sp500,das,GD,11,0.011089916672163917
sp500,das,GD,12,0.011089916672163917
sp500,das,GD,13,0.011089916672163917
sp500,das,GD,14,0.011089916672163917
sp500,das,GD,15,0.011089916672163917
sp500,das,GD,16,0.011089916672163917
sp500,das,GD,17,0.011089916672163917
sp500,das,GD,18,0.011089916672163917
sp500,das,GD,19,0.011089916672163917
sp500,nsgaii,GD,0,0.002882231033759199
sp500,nsgaii,GD,1,0.0029448026398935074
sp500,nsgaii,GD,2,0.0027774104090925707
sp500,nsgaii,GD,3,0.003009034300116682
sp500,nsgaii,GD,4,0.002857623014421607
sp500,nsgaii,GD,5,0.003113953259627671
sp500,nsgaii,GD,6,0.0030127105917862104
sp500,nsgaii,GD,7,0.0026543028770777666
sp500,nsgaii,GD,8,0.0029917171516869344
sp500,nsgaii,GD,9,0.0028428897098015946
sp500,nsgaii,GD,10,0.0028004991735165684
sp500,nsgaii,GD,11,0.0030528614308840607
sp500,nsgaii,GD,12,0.0030082768370626738
sp500,nsgaii,GD,13,0.002887505239233626
sp500,nsgaii,GD,14,0.0028868495903824716
sp500,nsgaii,GD,15,0.00285826022165346
sp500,nsgaii,GD,16,0.002814304572066937
sp500,nsgaii,GD,17,0.002881648944580648
sp500,nsgaii,GD,18,0.00313104752432621
sp500,nsgaii,GD,19,0.003000713296647669
sp500,sms,GD,0,0.0019909918500264265
sp500,sms,GD,1,0.0021318858121080657
sp500,sms,GD,2,0.0021443922145156437
sp500,sms,GD,3,0.0018838759657452773
sp500,sms,GD,4,0.0019047191540004953
sp500,sms,GD,5,0.0020515829076014082
sp500,sms,GD,6,0.0018782888826948064
sp500,sms,GD,7,0.002038919347994254
sp500,sms,GD,8,0.0019204239692512104
sp500,sms,GD,9,0.0020737970582561777
sp500,sms,GD,10,0.001913465441937789
sp500,sms,GD,11,0.0020260519658845903
sp500,sms,GD,12,0.001913495447550702
sp500,sms,GD,13,0.0017804708758410253
sp500,sms,GD,14,0.001886111385876044
sp500,sms,GD,15,0.0018891935731470558
sp500,sms,GD,16,0.0020724867778248402
sp500,sms,GD,17,0.0019852169742319635
sp500,sms,GD,18,0.0019309757537344515
sp500,sms,GD,19,0.002090528900949078
sp500,mkds,GD,0,0.001636946479005357
sp500,mkds,GD,1,0.001636946479005357
sp500,mkds,GD,2,0.001636946479005357
sp500,mkds,GD,3,0.001636946479005357
sp500,mkds,GD,4,0.001636946479005357
sp500,mkds,GD,5,0.001636946479005357
sp500,mkds,GD,6,0.001636946479005357
sp500,mkds,GD,7,0.001636946479005357
sp500,mkds,GD,8,0.001636946479005357
sp500,mkds,GD,9,0.001636946479005357
sp500,mkds,GD,10,0.001636946479005357
sp500,mkds,GD,11,0.001636946479005357
sp500,mkds,GD,12,0.001636946479005357
sp500,mkds,GD,13,0.001636946479005357
sp500,mkds,GD,14,0.001636946479005357
sp500,mkds,GD,15,0.001636946479005357
sp500,mkds,GD,16,0.001636946479005357
sp500,mkds,GD,17,0.001636946479005357
sp500,mkds,GD,18,0.001636946479005357
sp500,mkds,GD,19,0.001636946479005357
sp500,das,IGD,0,0.0025900253673552687
sp500,das,IGD,1,0.0025900253673552687
sp500,das,IGD,2,0.0025900253673552687
sp500,das,IGD,3,0.0025900253673552687
sp500,das,IGD,4,0.0025900253673552687
sp500,das,IGD,5,0.0025900253673552687
sp500,das,IGD,6,0.0025900253673552687
sp500,das,IGD,7,0.0025900253673552687
sp500,das,IGD,8,0.0025900253673552687
sp500,das,IGD,9,0.0025900253673552687
sp500,das,IGD,10,0.0025900253673552687
sp500,das,IGD,11,0.0025900253673552687
sp500,das,IGD,12,0.0025900253673552687
sp500,das,IGD,13,0.0025900253673552687
sp500,das,IGD,14,0.0025900253673552687
sp500,das,IGD,15,0.0025900253673552687
sp500,das,IGD,16,0.0025900253673552687
sp500,das,IGD,17,0.0025900253673552687
sp500,das,IGD,18,0.0025900253673552687
sp500,das,IGD,19,0.0025900253673552687
sp500,nsgaii,IGD,0,0.00015247588186999847
sp500,nsgaii,IGD,1,0.0001588241455890149
sp500,nsgaii,IGD,2,0.0001479159675143226
sp500,nsgaii,IGD,3,0.0001758141192217021
sp500,nsgaii,IGD,4,0.00014701960778433558
sp500,nsgaii,IGD,5,0.0001860755722049322
sp500,nsgaii,IGD,6,0.00016222052627410766
sp500,nsgaii,IGD,7,0.00020012661548890503
sp500,nsgaii,IGD,8,0.0001765164323503645
sp500,nsgaii,IGD,9,0.0001517229931047517
sp500,nsgaii,IGD,10,0.00015010313040129486
sp500,nsgaii,IGD,11,0.00016443568167112926
sp500,nsgaii,IGD,12,0.00016524226871267943
sp500,nsgaii,IGD,13,0.0001739479878210579
sp500,nsgaii,IGD,14,0.00017465187629658226
sp500,nsgaii,IGD,15,0.00018465689596708452
sp500,nsgaii,IGD,16,0.00014659971354861803
sp500,nsgaii,IGD,17,0.00015511594214426323
sp500,nsgaii,IGD,18,0.00018093491004282373
sp500,nsgaii,IGD,19,0.00017451593706668033
sp500,sms,IGD,0,0.000575024278914473
sp500,sms,IGD,1,0.00022391402355579194
sp500,sms,IGD,2,0.0002510259024874728
sp500,sms,IGD,3,0.0006465031129912673
sp500,sms,IGD,4,0.0008709641278580887
sp500,sms,IGD,5,0.00038148027026438456
sp500,sms,IGD,6,0.0014065445200567672
sp500,sms,IGD,7,0.0001555133598055749
sp500,sms,IGD,8,0.0004649023084527963
sp500,sms,IGD,9,0.00035620162606143593
sp500,sms,IGD,10,0.00043648046699150275
sp500,sms,IGD,11,0.0004245314433800554
sp500,sms,IGD,12,0.00031759833249808754
sp500,sms,IGD,13,0.0012477555473704614
sp500,sms,IGD,14,0.0004920245908820387
sp500,sms,IGD,15,0.0003828511411198543
sp500,sms,IGD,16,0.00036351330943874957
sp500,sms,IGD,17,0.00035128184087393504
sp500,sms,IGD,18,0.0008346848705357344
sp500,sms,IGD,19,0.0005039615807139816
sp500,mkds,IGD,0,8.299139255475355e-05
sp500,mkds,IGD,1,8.299139255475355e-05
sp500,mkds,IGD,2,8.299139255475355e-05
sp500,mkds,IGD,3,8.299139255475355e-05
sp500,mkds,IGD,4,8.299139255475355e-05
sp500,mkds,IGD,5,8.299139255475355e-05
sp500,mkds,IGD,6,8.299139255475355e-05
sp500,mkds,IGD,7,8.299139255475355e-05
sp500,mkds,IGD,8,8.299139255475355e-05
sp500,mkds,IGD,9,8.299139255475355e-05
sp500,mkds,IGD,10,8.299139255475355e-05
sp500,mkds,IGD,11,8.299139255475355e-05
sp500,mkds,IGD,12,8.299139255475355e-05
sp500,mkds,IGD,13,8.299139255475355e-05
sp500,mkds,IGD,14,8.299139255475355e-05
sp500,mkds,IGD,15,8.299139255475355e-05
sp500,mkds,IGD,16,8.299139255475355e-05
sp500,mkds,IGD,17,8.299139255475355e-05
sp500,mkds,IGD,18,8.299139255475355e-05
sp500,mkds,IGD,19,8.299139255475355e-05
sp500,das,GDplus,0,0.011074956036246027
sp500,das,GDplus,1,0.011074956036246027
sp500,das,GDplus,2,0.011074956036246027
sp500,das,GDplus,3,0.011074956036246027
sp500,das,GDplus,4,0.011074956036246027
sp500,das,GDplus,5,0.011074956036246027
sp500,das,GDplus,6,0.011074956036246027
sp500,das,GDplus,7,0.011074956036246027
sp500,das,GDplus,8,0.011074956036246027
sp500,das,GDplus,9,0.011074956036246027
sp500,das,GDplus,10,0.011074956036246027
sp500,das,GDplus,11,0.011074956036246027
sp500,das,GDplus,12,0.011074956036246027
sp500,das,GDplus,13,0.011074956036246027
sp500,das,GDplus,14,0.011074956036246027
sp500,das,GDplus,15,0.011074956036246027
sp500,das,GDplus,16,0.011074956036246027
sp500,das,GDplus,17,0.011074956036246027
sp500,das,GDplus,18,0.011074956036246027
sp500,das,GDplus,19,0.011074956036246027
sp500,nsgaii,GDplus,0,0.0025121150813095495
sp500,nsgaii,GDplus,1,0.002582126867458634
sp500,nsgaii,GDplus,2,0.0024402740867546
sp500,nsgaii,GDplus,3,0.0026673549508393095
sp500,nsgaii,GDplus,4,0.0025290495998198386
sp500,nsgaii,GDplus,5,0.0027477807773531324
sp500,nsgaii,GDplus,6,0.002650539117111761
sp500,nsgaii,GDplus,7,0.002368063653296945
sp500,nsgaii,GDplus,8,0.0026273330040907134
sp500,nsgaii,GDplus,9,0.0025008928046350892
sp500,nsgaii,GDplus,10,0.0024341142110888463
sp500,nsgaii,GDplus,11,0.002685836632130078
sp500,nsgaii,GDplus,12,0.002664324759939685
sp500,nsgaii,GDplus,13,0.002559906162448394
sp500,nsgaii,GDplus,14,0.0025520324156903555
sp500,nsgaii,GDplus,15,0.0025218891996447172
sp500,nsgaii,GDplus,16,0.0024724280144723396
sp500,nsgaii,GDplus,17,0.002506450896284512
sp500,nsgaii,GDplus,18,0.002762811911319713
sp500,nsgaii,GDplus,19,0.0026578828819709688
sp500,sms,GDplus,0,0.0017165756704125839
sp500,sms,GDplus,1,0.001838946577568379
sp500,sms,GDplus,2,0.0018637809593423016
sp500,sms,GDplus,3,0.001597283465434348
sp500,sms,GDplus,4,0.0016112823043441895
sp500,sms,GDplus,5,0.0017769433676374014
sp500,sms,GDplus,6,0.0016024325235408049
sp500,sms,GDplus,7,0.0017370461534619702
sp500,sms,GDplus,8,0.0016464770390701112
sp500,sms,GDplus,9,0.0017827971304809945
sp500,sms,GDplus,10,0.0016345659939433661
sp500,sms,GDplus,11,0.0017542981247999836
sp500,sms,GDplus,12,0.0016429996505785375
sp500,sms,GDplus,13,0.0014817867845827966
sp500,sms,GDplus,14,0.001603986135798563
sp500,sms,GDplus,15,0.0015993185901488542
sp500,sms,GDplus,16,0.0017965697957364262
sp500,sms,GDplus,17,0.0017061654870159234
sp500,sms,GDplus,18,0.0016486097296400048
sp500,sms,GDplus,19,0.0018210753697062482
sp500,mkds,GDplus,0,0.0011772752575767108
sp500,mkds,GDplus,1,0.0011772752575767108
sp500,mkds,GDplus,2,0.0011772752575767108
sp500,mkds,GDplus,3,0.0011772752575767108
sp500,mkds,GDplus,4,0.0011772752575767108
sp500,mkds,GDplus,5,0.0011772752575767108
sp500,mkds,GDplus,6,0.0011772752575767108
sp500,mkds,GDplus,7,0.0011772752575767108
sp500,mkds,GDplus,8,0.0011772752575767108
sp500,mkds,GDplus,9,0.0011772752575767108
sp500,mkds,GDplus,10,0.0011772752575767108
sp500,mkds,GDplus,11,0.0011772752575767108
sp500,mkds,GDplus,12,0.0011772752575767108
sp500,mkds,GDplus,13,0.0011772752575767108
sp500,mkds,GDplus,14,0.0011772752575767108
sp500,mkds,GDplus,15,0.0011772752575767108
sp500,mkds,GDplus,16,0.0011772752575767108
sp500,mkds,GDplus,17,0.0011772752575767108
sp500,mkds,GDplus,18,0.0011772752575767108
sp500,mkds,GDplus,19,0.0011772752575767108
sp500,das,IGDplus,0,0.0021815498348513947
sp500,das,IGDplus,1,0.0021815498348513947
sp500,das,IGDplus,2,0.0021815498348513947
sp500,das,IGDplus,3,0.0021815498348513947
sp500,das,IGDplus,4,0.0021815498348513947
sp500,das,IGDplus,5,0.0021815498348513947
sp500,das,IGDplus,6,0.0021815498348513947
sp500,das,IGDplus,7,0.0021815498348513947
sp500,das,IGDplus,8,0.0021815498348513947
sp500,das,IGDplus,9,0.0021815498348513947
sp500,das,IGDplus,10,0.0021815498348513947
sp500,das,IGDplus,11,0.0021815498348513947
sp500,das,IGDplus,12,0.0021815498348513947
sp500,das,IGDplus,13,0.0021815498348513947
sp500,das,IGDplus,14,0.0021815498348513947
sp500,das,IGDplus,15,0.0021815498348513947
sp500,das,IGDplus,16,0.0021815498348513947
sp500,das,IGDplus,17,0.0021815498348513947
sp500,das,IGDplus,18,0.0021815498348513947
sp500,das,IGDplus,19,0.0021815498348513947
sp500,nsgaii,IGDplus,0,0.00011730161247600776
sp500,nsgaii,IGDplus,1,0.0001188430597057436
sp500,nsgaii,IGDplus,2,0.00011320474576629501
sp500,nsgaii,IGDplus,3,0.00014131196993841344
sp500,nsgaii,IGDplus,4,0.0001117123873237752
sp500,nsgaii,IGDplus,5,0.00013973789970954744
sp500,nsgaii,IGDplus,6,0.00012934190171861993
sp500,nsgaii,IGDplus,7,0.00012512242824816458
sp500,nsgaii,IGDplus,8,0.0001385913252357081
sp500,nsgaii,IGDplus,9,0.00012014364112038136
sp500,nsgaii,IGDplus,10,0.00011673282511246402
sp500,nsgaii,IGDplus,11,0.00013182350589948554
sp500,nsgaii,IGDplus,12,0.00012904838714738776
sp500,nsgaii,IGDplus,13,0.00013728971949915323
sp500,nsgaii,IGDplus,14,0.00013193426062289574
sp500,nsgaii,IGDplus,15,0.00014025243743186978
sp500,nsgaii,IGDplus,16,0.00010979063465857804
sp500,nsgaii,IGDplus,17,0.00012657180027643314
sp500,nsgaii,IGDplus,18,0.00015154268343589217
sp500,nsgaii,IGDplus,19,0.00013680399193411426
sp500,sms,IGDplus,0,0.0001407470519186691
sp500,sms,IGDplus,1,7.611448943209351e-05
sp500,sms,IGDplus,2,8.093309624925999e-05
sp500,sms,IGDplus,3,0.000159260248384694
sp500,sms,IGDplus,4,0.00018632553161860064
sp500,sms,IGDplus,5,0.00010365891501336842
sp500,sms,IGDplus,6,0.000616756010011021
sp500,sms,IGDplus,7,6.269732024940998e-05
sp500,sms,IGDplus,8,0.00018254368287931976
sp500,sms,IGDplus,9,9.364552766421097e-05
sp500,sms,IGDplus,10,0.00013539433039885348
sp500,sms,IGDplus,11,0.000168096764559909
sp500,sms,IGDplus,12,0.00013638247207783014
sp500,sms,IGDplus,13,0.00042984064726767676
sp500,sms,IGDplus,14,0.00013663854092625633
sp500,sms,IGDplus,15,0.00014698991495396322
sp500,sms,IGDplus,16,0.0001085109125486119
sp500,sms,IGDplus,17,9.426488896943041e-05
sp500,sms,IGDplus,18,0.00020147375810806897
sp500,sms,IGDplus,19,0.00012877303882500836
sp500,mkds,IGDplus,0,5.186628839878758e-05
sp500,mkds,IGDplus,1,5.186628839878758e-05
sp500,mkds,IGDplus,2,5.186628839878758e-05
sp500,mkds,IGDplus,3,5.186628839878758e-05
sp500,mkds,IGDplus,4,5.186628839878758e-05
sp500,mkds,IGDplus,5,5.186628839878758e-05
sp500,mkds,IGDplus,6,5.186628839878758e-05
sp500,mkds,IGDplus,7,5.186628839878758e-05
sp500,mkds,IGDplus,8,5.186628839878758e-05
sp500,mkds,IGDplus,9,5.186628839878758e-05
sp500,mkds,IGDplus,10,5.186628839878758e-05
sp500,mkds,IGDplus,11,5.186628839878758e-05
sp500,mkds,IGDplus,12,5.186628839878758e-05
sp500,mkds,IGDplus,13,5.186628839878758e-05
sp500,mkds,IGDplus,14,5.186628839878758e-05
sp500,mkds,IGDplus,15,5.186628839878758e-05
sp500,mkds,IGDplus,16,5.186628839878758e-05
sp500,mkds,IGDplus,17,5.186628839878758e-05
sp500,mkds,IGDplus,18,5.186628839878758e-05
sp500,mkds,IGDplus,19,5.186628839878758e-05
sp500,das,HV,0,1.0521603297934294
sp500,das,HV,1,1.0521603297934294
sp500,das,HV,2,1.0521603297934294
sp500,das,HV,3,1.0521603297934294
sp500,das,HV,4,1.0521603297934294
sp500,das,HV,5,1.0521603297934294
sp500,das,HV,6,1.0521603297934294
sp500,das,HV,7,1.0521603297934294
sp500,das,HV,8,1.0521603297934294
sp500,das,HV,9,1.0521603297934294
sp500,das,HV,10,1.0521603297934294
sp500,das,HV,11,1.0521603297934294
sp500,das,HV,12,1.0521603297934294
sp500,das,HV,13,1.0521603297934294
sp500,das,HV,14,1.0521603297934294
sp500,das,HV,15,1.0521603297934294
sp500,das,HV,16,1.0521603297934294
sp500,das,HV,17,1.0521603297934294
sp500,das,HV,18,1.0521603297934294
sp500,das,HV,19,1.0521603297934294
sp500,nsgaii,HV,0,1.069228350575011
sp500,nsgaii,HV,1,1.0691314967552925
sp500,nsgaii,HV,2,1.0692445278805425
sp500,nsgaii,HV,3,1.069100055343669
sp500,nsgaii,HV,4,1.069246858188449
sp500,nsgaii,HV,5,1.0690534061540387
sp500,nsgaii,HV,6,1.0691141596342755
sp500,nsgaii,HV,7,1.0690466413698294
sp500,nsgaii,HV,8,1.0690807717100672
sp500,nsgaii,HV,9,1.0692021774609148
sp500,nsgaii,HV,10,1.0692745684225549
sp500,nsgaii,HV,11,1.0691401948625638
sp500,nsgaii,HV,12,1.0691701317037317
sp500,nsgaii,HV,13,1.0691083000343826
sp500,nsgaii,HV,14,1.06905915907703
sp500,nsgaii,HV,15,1.0691229144129288
sp500,nsgaii,HV,16,1.069281227630857
sp500,nsgaii,HV,17,1.0691634393314096
sp500,nsgaii,HV,18,1.0690809882473227
sp500,nsgaii,HV,19,1.0690941086604038
sp500,sms,HV,0,1.0663085555357228
sp500,sms,HV,1,1.0684444615160875
sp500,sms,HV,2,1.068161698068197
sp500,sms,HV,3,1.0655566762115478
sp500,sms,HV,4,1.0644916824727408
sp500,sms,HV,5,1.0671301538094657
sp500,sms,HV,6,1.0517251745927174
sp500,sms,HV,7,1.0691431342445545
sp500,sms,HV,8,1.0644151375855189
sp500,sms,HV,9,1.067706494533157
sp500,sms,HV,10,1.066393337595683
sp500,sms,HV,11,1.0651030235323766
sp500,sms,HV,12,1.0667341493723324
sp500,sms,HV,13,1.0569818478370991
sp500,sms,HV,14,1.066389914273645
sp500,sms,HV,15,1.0662832876653903
sp500,sms,HV,16,1.0674602607980512
sp500,sms,HV,17,1.0675866720860379
sp500,sms,HV,18,1.0639639507858285
sp500,sms,HV,19,1.0666976067908691
sp500,mkds,HV,0,1.0693569316958507
sp500,mkds,HV,1,1.0693569316958507
sp500,mkds,HV,2,1.0693569316958507
sp500,mkds,HV,3,1.0693569316958507
sp500,mkds,HV,4,1.0693569316958507
sp500,mkds,HV,5,1.0693569316958507
sp500,mkds,HV,6,1.0693569316958507
sp500,mkds,HV,7,1.0693569316958507
sp500,mkds,HV,8,1.0693569316958507
sp500,mkds,HV,9,1.0693569316958507
sp500,mkds,HV,10,1.0693569316958507
sp500,mkds,HV,11,1.0693569316958507
sp500,mkds,HV,12,1.0693569316958507
sp500,mkds,HV,13,1.0693569316958507
sp500,mkds,HV,14,1.0693569316958507
sp500,mkds,HV,15,1.0693569316958507
sp500,mkds,HV,16,1.0693569316958507
sp500,mkds,HV,17,1.0693569316958507
sp500,mkds,HV,18,1.0693569316958507
sp500,mkds,HV,19,1.0693569316958507
